ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs
MSADY,"MS&AD Insurance Group Holdings, Inc.",-0.22,3.25,19,8,51
HSY,The Hershey Company,-1.53,5.27,47,22,38
RBGLY,Reckitt Benckiser Group plc,-2.74,-2.97,0,0,11
PEG,Public Service Enterprise Group Incorporated,-0.63,-3.69,6,0,30
CCL,Carnival Corporation Ltd.,0.43,6.5,96,75,35
JBL,Jabil Inc.,0.25,8.05,53,32,90
TRI,Thomson Reuters Corporation,2.39,-7.5,35,25,4
LNVGF,Lenovo Group Limited,22.13,125.55,100,100,96
IRM,Iron Mountain Incorporated,1.12,1.79,12,6,78
EQBBF,EQT AB (publ),0.0,9.32,67,50,61
SSEZY,SSE plc,-1.83,-12.88,5,0,53
MSADF,"MS&AD Insurance Group Holdings, Inc.",0.0,-2.07,12,0,39
STLD,"Steel Dynamics, Inc.",-0.23,13.77,96,94,90
KMTUY,Komatsu Ltd.,0.71,-4.5,30,15,54
PBCRF,PT Bank Central Asia Tbk,0.0,-19.79,0,0,3
EME,"EMCOR Group, Inc.",-2.55,-7.27,0,0,78
FJTSY,Fujitsu Limited,-5.1,7.0,47,15,21
WEGZY,WEG S.A.,-1.79,-3.83,14,5,46
JPPHY,"Japan Post Holdings Co., Ltd.",-8.53,2.85,21,16,67
PPRUF,Kering SA,2.2,12.09,89,70,44
WEC,"WEC Energy Group, Inc.",-0.56,-5.04,0,0,38
FINMF,Leonardo S.p.a.,-1.36,-2.86,37,24,39
KMTUF,Komatsu Ltd.,4.17,-6.37,22,17,48
PCG,PG&E Corporation,0.31,-1.68,10,0,30
VODPF,Vodafone Group Public Limited Company,0.0,-3.13,0,0,71
HMC,"Honda Motor Co., Ltd.",-1.1,10.89,87,84,18
ADDDF,adidas AG,3.17,19.13,99,97,44
BKHPF,Bank Hapoalim B.M.,0.0,5.61,78,30,86
TEVJF,Teva Pharmaceutical Industries Limited,0.0,3.43,42,12,82
AMKAF,A.P. Møller - Mærsk A/S,4.47,3.04,36,23,57
DLMAF,Dollarama Inc.,1.31,1.63,17,9,22
CBOE,"Cboe Global Markets, Inc.",-2.9,11.39,0,0,74
HIG,"The Hartford Insurance Group, Inc.",-1.43,-7.08,0,0,26
PAYX,"Paychex, Inc.",1.54,6.04,83,62,17
BBD,Banco Bradesco S.A.,-0.85,-9.96,0,0,42
SMPNY,"Sompo Holdings, Inc.",-0.54,0.11,22,12,52
NTAP,"NetApp, Inc.",22.39,57.34,100,100,90
DNZOF,DENSO Corporation,2.13,1.63,60,48,19
GVDNY,Givaudan SA,-0.43,4.28,85,50,20
TRAUF,Transurban Group,0.0,6.86,81,69,59
CHT,"Chunghwa Telecom Co., Ltd.",0.6,0.99,5,3,38
BKHYY,Bank Hapoalim B.M.,0.73,-2.7,3,2,73
RVMD,"Revolution Medicines, Inc.",1.84,9.27,100,68,97
KVUE,Kenvue Inc.,-2.04,-0.24,0,0,20
HBANZ,Huntington Bancshares Incorporated,-0.2,-3.63,0,0,31
CSLLY,CSL Limited,0.12,-22.73,0,0,2
